Gene stable ID,Transcript stable ID
PVX_095190,EDL44777
PVX_095195,EDL44778
PVX_095200,EDL44779
PVX_095205,EDL44780
PVX_095210,EDL44781
PVX_095215,EDL44782
PVX_095220,EDL44783
PVX_095225,EDL44784
PVX_095230,EDL44785
PVX_095235,EDL44786
PVX_095240,EDL44787
PVX_095245,EDL44788
PVX_095250,EDL44789
PVX_095255,EDL44790
PVX_095265,EDL44792
PVX_095270,EDL44793
PVX_095275,EDL44794
PVX_095280,EDL44795
PVX_095290,EDL44797
PVX_095295,EDL44798
PVX_095300,EDL44799
PVX_095305,EDL44800
PVX_095310,EDL44801
PVX_095315,EDL44802
PVX_095320,EDL44803
PVX_095325,EDL44804
PVX_095335,EDL44806
PVX_095340,EDL44807
PVX_095345,EDL44808
PVX_095350,EDL44809
PVX_095355,EDL44810
PVX_095360,EDL44811
PVX_095365,EDL44812
PVX_095370,EDL44813
PVX_095375,EDL44814
PVX_095380,EDL44815
PVX_095385,EDL44816
PVX_095390,EDL44817
PVX_095400,EDL44819
PVX_095405,EDL44820
PVX_095410,EDL44821
PVX_095415,EDL44822
PVX_095420,EDL44823
PVX_095425,EDL44824
PVX_095430,EDL44825
PVX_095435,EDL44826
PVX_095440,EDL44827
PVX_095445,EDL44828
PVX_095450,EDL44829
PVX_095455,EDL44830
PVX_095460,EDL44831
PVX_095465,EDL44832
PVX_095475,EDL44834
PVX_095480,EDL44835
PVX_095485,EDL44836
PVX_095490,EDL44837
PVX_095495,EDL44838
PVX_119830,EDL43435
PVX_119825,EDL43434
PVX_119820,EDL43433
PVX_119815,EDL43432
PVX_119810,EDL43431
PVX_119805,EDL43430
PVX_119800,EDL43429
PVX_119795,EDL43428
PVX_119790,EDL43427
PVX_119785,EDL43426
PVX_119780,EDL43425
PVX_119775,EDL43424
PVX_119770,EDL43423
PVX_119765,EDL43422
PVX_119760,EDL43421
PVX_119755,EDL43420
PVX_119750,EDL43419
PVX_119745,EDL43418
PVX_119740,EDL43417
PVX_119735,EDL43416
PVX_119725,EDL43415
PVX_119720,EDL43414
PVX_119715,EDL43413
PVX_119710,EDL43412
PVX_119705,EDL43411
PVX_119700,EDL43410
PVX_119695,EDL43409
PVX_119685,EDL43407
PVX_119680,EDL43406
PVX_119675,EDL43405
PVX_119670,EDL43404
PVX_119665,EDL43403
PVX_119660,EDL43402
PVX_119655,EDL43401
PVX_119650,EDL43400
PVX_119645,EDL43399
PVX_119640,EDL43398
PVX_119635,EDL43397
PVX_119625,EDL43395
PVX_119620,EDL43394
PVX_119615,EDL43393
PVX_119610,EDL43392
PVX_119605,EDL43391
PVX_119600,EDL43390
PVX_119595,EDL43389
PVX_119590,EDL43388
PVX_119585,EDL43387
PVX_119580,EDL43386
PVX_119575,EDL43385
PVX_119570,EDL43384
PVX_119565,EDL43383
PVX_119560,EDL43382
PVX_119555,EDL43381
PVX_119550,EDL43380
PVX_119545,EDL43379
PVX_119540,EDL43378
PVX_119530,EDL43376
PVX_119525,EDL43375
PVX_119520,EDL43374
PVX_119515,EDL43373
PVX_119510,EDL43372
PVX_119505,EDL43371
PVX_119500,EDL43370
PVX_119495,EDL43369
PVX_119490,EDL43368
PVX_119485,EDL43367
PVX_119480,EDL43366
PVX_119475,EDL43365
PVX_119470,EDL43364
PVX_119465,EDL43363
PVX_119460,EDL43362
PVX_119455,EDL43361
PVX_119450,EDL43360
PVX_119445,EDL43359
PVX_119435,EDL43357
PVX_119430,EDL43356
PVX_119425,EDL43355
PVX_119410,EDL43352
PVX_119405,EDL43351
PVX_119400,EDL43350
PVX_119395,EDL43349
PVX_119390,EDL43348
PVX_119385,EDL43347
PVX_119380,EDL43346
PVX_119375,EDL43345
PVX_119370,EDL43344
PVX_119365,EDL43343
PVX_119355,EDL43341
PVX_119350,EDL43340
PVX_119345,EDL43339
PVX_119340,EDL43338
PVX_119335,EDL43337
PVX_119330,EDL43336
PVX_119325,EDL43335
PVX_119320,EDL43334
PVX_119315,EDL43333
PVX_119310,EDL43332
PVX_119305,EDL43331
PVX_119300,EDL43330
PVX_119295,EDL43329
PVX_119290,EDL43328
PVX_119285,EDL43327
PVX_119280,EDL43326
PVX_119275,EDL43325
PVX_119270,EDL43324
PVX_119265,EDL43323
PVX_119260,EDL43322
PVX_119255,EDL43321
PVX_119250,EDL43320
PVX_119245,EDL43319
PVX_119240,EDL43318
PVX_087680,EDL43670
PVX_087685,EDL43671
