Gene stable ID,Transcript stable ID
PBANKA_143590,CDS52012
PBANKA_143610,CDS52014
PBANKA_143620,CDS52016
PBANKA_143630,CDS52017
PBANKA_143640,CDS52019
PBANKA_143650,CDS52021
PBANKA_143660,CDS52022
PBANKA_143670,CDS52024
PBANKA_143680,CDS52026
PBANKA_143690,CDS52027
PBANKA_143700,CDS52029
PBANKA_143710,CDS52031
PBANKA_143720,CDS52033
PBANKA_143730,CDS52035
PBANKA_143740,CDS52037
PBANKA_143750,CDS52040
PBANKA_143760,CDS52042
PBANKA_143770,CDS52043
PBANKA_143780,CDS52044
PBANKA_143790,CDS52046
PBANKA_143800,CDS52048
PBANKA_143810,CDS52050
PBANKA_143820,CDS52052
PBANKA_143830,CDS52054
PBANKA_143840,CDS52056
PBANKA_143850,CDS52058
PBANKA_143860,CDS52060
PBANKA_143870,CDS52062
PBANKA_143880,CDS52064
PBANKA_143890,CDS52065
PBANKA_143900,CDS52067
PBANKA_143910,CDS52069
PBANKA_143920,CDS52071
PBANKA_143930,CDS52073
PBANKA_143940,CDS52075
PBANKA_143950,CDS52077
PBANKA_143960,CDS52079
PBANKA_143970,CDS52081
PBANKA_143980,CDS52083
PBANKA_143990,CDS52085
PBANKA_144000,CDS52087
PBANKA_144010,CDS52089
PBANKA_144020,CDS52091
PBANKA_144030,CDS52092
PBANKA_144040,CDS52094
PBANKA_144050,CDS52096
PBANKA_144060,CDS52098
PBANKA_144070,CDS52100
PBANKA_144080,CDS52102
PBANKA_144090,CDS52104
PBANKA_144100,CDS52106
PBANKA_144110,CDS52108
PBANKA_144120,CDS52110
PBANKA_144130,CDS52111
PBANKA_144140,CDS52113
PBANKA_144150,CDS52115
PBANKA_144160,CDS52117
PBANKA_144170,CDS52119
PBANKA_144180,CDS52121
PBANKA_144190,CDS52123
PBANKA_144200,CDS52125
PBANKA_144210,CDS52127
PBANKA_144220,CDS52129
PBANKA_144230,CDS52131
PBANKA_144240,CDS52133
PBANKA_144250,CDS52135
PBANKA_144260,CDS52136
PBANKA_144270,CDS52138
PBANKA_144280,CDS52139
PBANKA_144290,CDS52141
PBANKA_144300,CDS52143
PBANKA_144310,CDS52145
PBANKA_144320,CDS52147
PBANKA_144330,CDS52149
PBANKA_144340,CDS52151
PBANKA_144350,CDS52152
PBANKA_144360,CDS52154
PBANKA_144370,CDS52156
PBANKA_144380,CDS52158
PBANKA_144390,CDS52160
PBANKA_144400,CDS52161
PBANKA_144410,CDS52164
PBANKA_144420,CDS52167
PBANKA_144430,CDS52169
PBANKA_144440,CDS52171
PBANKA_144450,CDS52173
PBANKA_144460,CDS52175
PBANKA_144470,CDS52176
PBANKA_144480,CDS52177
